tenant_id,Apartment_id,rating
61,2447,8
61,1658,7
61,1737,10
61,189,10
62,323,9
62,2626,8
62,124,7
62,2217,9
63,1504,7
63,462,9
63,2792,10
64,2603,8
64,2644,7
64,2743,8
64,1536,7
65,1572,7
65,552,9
65,1721,7
65,2270,10
66,103,10
66,494,6
66,116,9
66,413,10
67,273,9
67,1747,7
67,50,6
67,316,9
68,2024,6
68,697,10
68,2573,8
69,853,8
69,210,10
70,1736,10
70,1498,10
70,400,
70,1981,9
70,253,9
71,32,8
71,228,9
71,264,10
71,126,9
72,225,9
72,153,9
72,126,7
72,242,7
73,391,10
73,366,8
73,127,9
74,297,7
74,477,7
74,258,9
75,263,9
75,511,8
75,138,10
76,413,10
76,69,7
76,347,8
76,490,9
77,444,9
77,243,9
77,128,8
77,125,9
78,181,8
78,22,9
78,411,8
78,155,10
79,41,8
79,326,9
79,97,9
80,444,9
80,245,7
80,429,9
80,133,9
81,550,9
81,125,8
81,68,7
81,367,6
82,155,7
82,106,6
82,83,9
82,453,
83,14,7
83,203,9
83,422,7
84,175,10
84,684,9
84,386,8
85,513,10
85,5,9
85,40,9
85,190,9
86,90,9
86,405,8
86,458,10
86,79,8
87,237,10
87,127,9
87,853,6
87,521,9
88,149,8
88,378,9
88,692,8
88,265,9
89,72,10
89,677,7
89,430,7
90,160,10
90,306,7
91,138,10
91,228,9
92,240,10
92,404,8
93,471,9
93,174,10
93,46,9
93,316,7
94,832,10
94,128,10
94,217,8
95,256,10
95,376,10
95,400,6
95,240,8
96,759,9
96,496,9
96,5,7
97,477,7
97,431,
97,66,8
97,248,8
98,124,10
98,403,10
98,288,10
99,446,10
99,233,9
99,92,10
100,211,9
100,169,8
100,50,9
101,1660,9
101,2759,10
101,1572,7
102,2067,9
102,2170,10
102,1707,10
102,2277,9
103,2350,7
103,2752,7
103,2398,6
103,1598,8
104,1890,6
104,337,8
104,1578,7
104,230,6
104,454,9
105,2179,10
105,1514,10
105,2358,7
105,2184,9
106,2774,9
106,2312,10
106,490,8
106,448,10
106,2174,8
107,1660,9
107,327,10
108,2660,8
108,1870,7
108,159,8
109,1890,10
109,1498,9
109,2045,6
109,1757,9
110,1593,6
110,2357,10
110,2323,9
110,2806,9
111,1680,9
111,2266,9
111,2028,10
111,1532,6
112,1556,9
112,2601,9
112,2162,9
113,1820,10
113,2586,9
114,2627,7
114,2725,10
114,2160,9
114,1758,10
115,1893,10
115,2100,10
115,1875,9
116,1410,10
116,2537,10
116,1406,9
117,2649,9
117,1666,7
117,2665,9
117,2119,10
118,2786,6
118,1571,8
119,2045,9
119,2053,10
120,2508,8
120,2691,8
120,2800,10
120,2222,10
121,1930,9
121,1499,9
121,1781,9
122,1868,10
122,1791,9
122,2017,6
123,2540,9
123,2489,9
124,1593,10
124,2691,6
124,2289,6
124,2602,6
125,2407,9
125,2471,8
126,1921,9
126,1571,7
126,2664,10
127,2730,10
127,2095,10
127,1960,9
128,2510,7
128,2497,9
128,1672,7
129,2754,10
129,2718,7
129,1741,9
129,2601,10
130,1558,7
130,1396,7
130,2005,9
131,474,9
131,2497,8
131,1539,9
131,1826,6
132,1396,8
132,2554,10
132,2767,10
133,1699,9
133,808,10
133,1549,9
134,36,7
134,516,9
134,2296,9
134,1549,9
134,2665,9
135,2017,9
135,1801,6
135,2389,8
136,2688,8
136,1765,7
136,483,10
137,1642,8
137,2336,9
137,2194,9
138,2664,6
138,942,9
139,2497,10
139,2061,8
139,225,10
139,2070,9
140,2195,7
140,183,7
140,1863,10
140,2135,10
141,3544,6
141,3935,10
141,1630,6
142,2611,8
142,2506,10
143,3331,10
143,2983,8
143,3270,6
143,2226,8
144,1905,9
144,2973,8
145,1488,6
145,3215,9
145,2163,7
145,3866,9
146,375,8
146,1626,9
146,2177,7
147,2371,6
147,103,9
147,1366,
148,3941,8
148,3628,10
148,3308,8
148,2525,9
149,1433,7
149,3675,9
149,3345,6
150,2377,9
150,3451,10
150,3731,10
151,3419,8
151,2389,10
151,1383,9
152,1987,9
152,2904,7
152,2765,10
152,3364,9
153,666,9
153,460,10
153,2126,6
153,490,6
154,2201,8
154,2782,9
154,3943,9
154,1829,9
155,3001,
155,3934,7
155,3367,10
155,217,7
155,3215,9
156,1733,6
156,1930,10
156,3810,9
157,3050,9
157,3397,10
158,3685,9
158,315,8
159,1654,8
159,3780,7
159,2289,7
159,3644,10
160,3352,8
160,4011,10
160,3376,7
160,3243,
161,3951,10
161,2156,10
161,2862,9
162,1669,9
162,3140,10
162,1879,9
163,1630,9
163,2258,7
163,1054,10
164,2427,7
164,2891,8
164,3334,10
164,2460,7
165,2547,9
165,3836,8
165,2258,10
166,1358,6
166,3367,9
167,3136,8
167,1687,9
167,1840,10
167,1428,
168,3425,8
168,1998,9
168,2212,9
168,2986,10
169,3877,8
169,2928,8
169,3147,7
169,3453,9
169,4018,10
170,3533,9
170,2333,9
170,2174,6
171,2319,10
171,1935,8
171,2163,8
172,1267,9
172,1743,7
173,1267,9
173,1587,10
173,1638,8
173,1857,8
174,1680,10
174,2586,9
174,2172,10
175,1564,9
175,2765,10
175,2661,
176,1561,9
176,2735,
176,1812,10
176,1735,8
177,2259,9
177,2377,7
177,2723,7
177,2100,9
178,2735,9
178,1383,10
178,2772,10
179,2695,10
179,2045,
179,1204,7
180,1916,7
180,1767,7
180,1764,7
180,1713,10
181,1571,7
181,942,10
181,2072,9
182,2664,9
182,2116,10
182,2071,8
182,2606,10
183,1941,9
183,2465,10
183,1803,10
183,2361,8
184,2597,8
184,1571,9
185,2615,9
185,2664,7
185,2514,10
186,2598,9
186,1507,7
186,1873,10
187,2264,6
187,1944,9
187,2072,9
187,2618,9
188,2594,9
188,1626,7
188,2506,9
188,1873,10
189,946,10
189,2597,7
190,1968,8
190,1998,9
190,1803,7
190,2744,8
190,2540,7
191,2316,9
191,1643,9
191,1999,10
192,506,7
192,1535,9
192,1868,10
192,2683,7
193,2672,10
193,2530,10
193,303,10
194,1789,9
194,475,8
194,2369,9
194,2070,6
195,214,6
195,403,8
195,2491,8
196,2507,7
196,464,8
196,1962,10
197,2070,8
197,1648,9
197,2630,9
198,1739,9
198,198,10
199,120,10
199,2140,9
199,2071,6
200,2065,10
200,1649,9
200,2611,10
201,2673,8
201,101,9
201,1660,10
202,3951,7
202,1632,9
202,3097,10
202,103,10
203,3237,6
203,3779,8
204,2773,8
204,2506,6
204,277,7
204,609,10
205,1873,9
205,3778,9
205,1941,10
205,3013,7
206,3309,9
206,1507,10
206,3906,6
206,2017,9
206,1998,9
207,2465,8
207,1968,7
207,3275,9
208,350,8
208,1965,6
208,2281,10
208,2316,10
209,2594,8
209,3722,10
209,3439,7
210,3013,9
210,3455,8
210,2911,9
210,2252,10
211,1868,8
211,3156,9
212,2072,7
212,3533,9
212,3077,10
212,2828,7
213,4010,
213,3467,9
213,1692,6
213,3533,7
214,1713,
214,2996,10
214,3660,6
214,2140,9
215,2457,9
215,2773,10
216,394,7
216,2506,9
216,3439,10
216,3778,9
217,3013,6
217,3561,7
217,2929,10
217,3922,9
218,1643,7
218,3561,9
218,452,7
218,942,9
219,2671,10
219,1889,10
219,3081,6
219,1735,7
220,3934,10
220,2597,8
220,3680,8
220,1944,7
220,3227,7
221,1675,8
221,2929,7
221,3097,9
222,3331,10
222,3383,8
222,3390,10
223,2947,9
223,2727,8
223,2828,8
224,2340,9
224,2190,10
224,4192,8
225,942,8
225,3292,9
225,3744,8
225,2281,9
226,3422,9
226,2252,6
226,3307,10
227,2653,9
227,2199,7
227,2665,10
228,3780,10
228,1873,8
228,2854,9
228,2166,8
229,3265,6
229,2860,8
229,3615,7
229,4114,7
230,3514,10
230,4205,10
231,4302,8
231,3568,8
231,3942,9
231,3455,7
231,4370,9
232,4411,8
232,4266,10
232,4402,10
233,3097,7
233,3722,8
233,3970,10
234,3821,7
234,3910,8
234,4360,10
235,4219,9
235,3176,10
235,3902,10
235,4144,10
236,3849,10
236,3086,6
236,3934,7
237,4255,10
237,3077,
238,3401,9
238,2854,8
239,3494,9
239,3824,9
239,3938,9
240,3098,10
240,3846,10
241,3750,10
241,3763,10
241,3849,9
241,3467,10
241,3837,8
242,3355,9
242,3013,10
243,3039,8
243,3467,7
243,3799,8
244,3934,7
244,3307,8
245,3821,10
245,3001,7
245,3620,9
246,3180,9
246,3541,9
246,3979,7
247,3561,8
247,3717,10
247,3253,6
247,3763,9
248,3846,9
248,3383,9
248,3507,10
249,3331,10
249,3861,9
249,3938,9
250,3474,
250,3328,10
250,3561,7
251,3524,9
251,4592,8
251,3861,6
252,4247,7
252,3763,9
252,4316,8
252,4082,10
253,3555,9
253,3970,9
253,3494,10
254,2853,9
254,3767,7
254,4390,10
255,4498,
255,3176,9
255,4066,6
256,3767,9
256,3039,9
257,4596,7
257,3341,10
257,4082,10
257,3970,10
258,3939,9
258,4203,10
258,4031,8
259,3001,8
259,4094,8
259,3318,9
260,2854,8
260,4579,8
260,3849,9
260,4596,9
261,4012,8
261,3763,10
261,2776,10
262,4275,9
262,4385,9
262,2488,8
263,2757,10
263,2166,9
263,2457,9
264,3626,7
264,3467,7
265,3634,7
265,4454,9
265,4365,7
265,4173,8
265,4008,7
266,2688,9
266,4454,8
266,3799,9
267,1607,7
267,2340,8
268,3852,9
268,2609,8
268,4443,8
268,3939,8
269,3404,10
269,2786,7
270,4220,10
270,1523,8
270,4063,9
271,2948,8
271,2130,8
271,3165,7
271,1916,9
272,2910,10
272,3353,9
272,4196,7
273,3744,10
273,4387,8
273,2428,10
273,4138,9
274,2177,7
274,3353,8
274,3394,8
274,4247,8
274,4267,
275,4091,9
275,1794,8
276,4205,
276,2668,10
276,1709,8
277,2789,10
277,4250,8
277,3200,9
277,2537,10
278,1582,8
278,2683,9
278,3516,8
279,3902,6
279,4427,9
279,3394,9
280,2653,7
280,3122,8
280,3846,9
280,3934,9
281,4247,7
281,4434,9
282,4184,10
282,4385,10
282,4356,6
282,4280,6
283,4280,8
283,4219,6
283,4250,8
284,4385,9
284,4063,8
284,4144,10
284,4068,9
285,4068,10
285,4163,9
285,4316,
286,4063,10
286,4089,10
286,4370,7
287,4089,9
287,4163,9
287,4219,10
288,4060,6
288,4245,10
288,4345,9
289,4203,8
289,4245,8
289,4144,7
290,4060,7
290,4218,8
290,4144,7
290,4280,10
291,4063,7
291,4411,6
291,4163,10
292,4385,9
292,4360,7
292,4370,7
293,4411,7
293,4245,7
293,4084,6
293,4255,9
293,4370,7
294,4166,8
294,4088,10
294,4146,10
295,4390,9
295,4411,6
295,4255,9
296,4218,10
296,4084,9
296,4163,10
297,4030,9
297,4356,7
297,4144,9
298,4089,6
298,4411,10
298,4255,7
298,4082,10
299,4144,6
299,4245,8
299,4066,10
299,4068,6
300,4275,10
300,4144,8
300,4146,9
301,3788,9
301,3422,7
301,3039,8
301,3814,9
302,3039,10
302,2828,7
302,4356,9
303,2818,9
303,3154,7
303,3062,8
303,3276,6
304,3805,8
304,3383,6
304,3422,8
305,2912,8
305,4084,8
305,3959,9
305,4166,6
306,4356,7
306,3824,9
306,3154,8
306,4094,9
307,3350,6
307,4031,9
307,3939,
308,3039,8
308,3514,9
308,3788,7
309,4210,9
309,3154,9
310,3531,8
310,3788,
310,3236,7
310,3959,8
311,4411,8
311,3057,10
311,3422,10
312,3824,8
312,3077,9
313,3524,9
313,2912,8
313,3351,10
314,3906,10
314,3824,9
314,4210,10
314,3176,9
315,3176,9
315,4411,9
316,4280,8
316,2912,9
316,3077,8
316,3939,9
316,4010,6
317,3877,9
317,3939,10
318,3939,10
318,3821,9
318,4345,8
318,3970,9
319,3040,7
319,2895,10
319,3779,9
320,3341,9
320,4356,8
320,3147,9
320,4316,10
321,4088,8
321,4434,7
321,4118,9
321,4066,9
322,4094,10
322,4031,8
322,4063,8
322,4060,9
323,4088,8
323,4031,9
323,4063,9
324,4094,8
324,4434,8
324,4088,9
324,4066,10
325,4084,
325,4066,9
325,4063,10
325,4060,9
326,4031,9
326,4084,6
326,4088,7
326,4118,8
326,4094,6
327,4118,9
327,4063,6
327,4060,7
328,4063,7
328,4060,10
328,4084,8
328,4031,7
329,4084,10
329,4088,
329,4094,9
329,4060,7
330,4063,7
330,4031,9
330,4118,10
330,4434,7
331,4166,7
331,4210,8
331,4451,8
331,4255,7
332,4275,9
332,4203,10
332,4345,8
332,4316,7
333,4451,8
333,4411,9
334,4203,10
334,4068,10
334,4166,10
334,4280,9
335,4356,7
335,4255,9
335,4275,7
336,4275,9
336,4356,9
336,4280,6
336,4451,9
336,4068,
337,4345,9
337,4411,9
337,4210,9
337,4166,9
338,4275,10
338,4451,10
338,4255,
339,4203,6
339,4316,10
340,4210,9
340,4356,10
340,4411,9
340,4280,6
341,3938,9
341,3401,7
342,2606,7
342,2948,10
342,3555,9
342,3471,7
343,3279,
343,4360,9
343,3849,9
344,4370,8
344,3239,9
344,3309,9
344,4048,9
345,2065,9
345,3098,9
345,1965,7
345,2695,9
346,3951,8
346,2948,8
346,4360,8
346,3938,7
347,1709,10
347,3307,10
347,2430,9
348,3852,
348,3993,10
348,4184,9
348,2465,8
349,3401,9
349,3125,10
349,3861,8
349,1735,10
350,4247,9
350,2986,10
350,2609,10
350,2680,7
351,3942,8
351,3927,9
351,2680,10
352,2680,6
352,2689,7
352,3993,9
352,4166,9
353,3942,6
353,4166,10
353,2889,10
354,4166,
354,2689,9
354,1975,9
354,2889,8
355,2689,9
355,3927,7
355,2912,7
355,1975,8
356,2912,10
356,2889,8
357,4166,10
357,2689,10
357,2912,7
357,2680,6
358,1975,
358,2689,10
358,2889,10
358,2680,10
359,3927,8
359,3993,9
359,4166,8
360,4166,7
360,2689,8
360,3993,7
361,2889,8
361,3942,8
362,3927,9
362,2912,7
362,3993,9
362,3942,7
363,2912,10
363,3927,6
364,3993,7
364,3927,9
364,2912,9
364,4166,10
365,2912,9
365,2889,6
365,4166,10
366,3993,9
366,3927,10
366,2912,9
367,4166,7
367,3993,9
367,2889,6
367,3942,8
367,2912,6
368,4166,7
368,2889,8
368,3927,10
369,2912,9
369,3993,9
369,2889,10
369,3942,9
369,4166,7
370,3942,10
370,2889,9
373,2889,10
373,3857,9
373,3993,9
373,4066,10
374,4166,9
374,3927,9
374,4066,7
374,3993,10
375,2912,8
375,3993,9
376,2889,6
376,3993,6
377,3927,9
377,3857,9
377,2889,10
377,3942,8
377,3993,9
378,2889,9
378,4166,10
378,4066,8
379,2889,9
379,3857,9
379,3993,10
379,3927,7
380,4166,8
380,3993,9
380,3942,8
380,4066,10
381,3993,8
381,3857,9
381,2889,7
382,3942,6
382,2889,9
382,4066,9
382,3993,8
383,3927,10
383,3857,9
383,4066,9
384,4166,8
384,2912,9
384,3927,10
385,3927,7
385,3942,10
385,4166,10
386,4166,9
386,2889,7
386,3927,8
386,3857,10
387,3857,7
387,3942,7
387,4166,8
387,4066,10
388,2889,
388,3942,8
388,4166,8
389,3993,9
389,3942,9
389,2889,9
390,3993,10
390,4166,9
391,4066,9
391,4166,10
392,3857,10
392,4166,8
392,3942,9
392,2912,7
393,3942,9
393,3156,9
394,3857,10
394,3013,8
394,2667,9
395,4166,6
395,3156,7
395,2682,8
396,3993,8
396,3156,9
396,2680,9
397,2682,7
397,4066,10
398,3927,
398,3993,8
398,2689,9
399,2689,10
399,4066,10
400,4166,6
400,4066,8
400,3857,8
400,2912,10
401,2689,10
401,3942,9
401,2607,7
402,2051,8
402,2617,9
402,2607,
402,2889,7
403,2680,9
403,2617,9
403,2607,8
404,4166,9
404,4066,10
404,3993,7
404,2912,8
405,2051,9
405,3857,9
405,2889,
406,1975,7
406,3993,9
406,2607,8
407,2912,9
407,3927,7
407,3857,10
407,2689,9
408,2607,9
408,2889,10
408,1975,9
409,2051,6
409,3927,6
409,2617,7
409,2667,10
409,2912,9
410,2617,6
410,1975,8
410,2668,9
410,2889,10
411,2617,8
411,3993,9
411,3927,8
412,4066,
412,2912,9
412,2680,10
412,2668,7
413,4636,7
413,4057,10
413,4166,8
413,4066,9
414,4066,10
414,4636,8
414,4166,
415,4066,9
415,4636,9
415,4166,
415,4057,8
416,4166,9
416,4066,9
416,4057,9
417,4166,9
417,4636,10
417,4057,8
417,4066,9
418,4066,8
418,4057,7
418,4636,9
420,3857,10
420,4166,10
420,4636,7
421,3942,
421,3954,8
422,4636,9
422,3927,8
422,3942,9
422,4066,9
423,3857,9
423,3954,10
423,3942,9
424,2912,8
424,3927,9
424,4166,9
424,4636,9
425,4636,7
425,4066,10
425,3857,10
426,3993,8
426,2889,9
426,4636,9
426,3942,7
427,4166,8
427,3993,10
427,3927,10
427,4066,7
428,3942,9
428,3993,7
429,2889,9
429,4636,7
429,3954,9
430,3954,8
430,4636,10
430,3857,8
431,3857,9
431,2912,9
431,4066,10
432,3954,10
432,2912,6
432,4066,10
432,3857,10
433,4066,10
433,4636,8
433,3954,10
433,3857,8
434,2912,9
434,4166,9
434,4066,10
435,4057,6
435,3954,9
435,4066,9
436,2912,
436,4166,8
436,4636,8
436,3857,10
437,4057,9
437,4636,8
437,4166,10
438,4057,9
438,4636,8
439,4636,9
439,2912,6
440,3954,9
440,4636,10
440,3857,7
440,4057,6
441,4066,8
441,3857,7
441,4636,10
441,3954,9
442,4057,8
442,4066,7
442,4636,8
442,3954,
443,3954,9
443,4057,6
443,3857,9
444,4636,7
444,3857,6
444,3954,9
445,4636,10
445,3857,10
445,3954,10
445,4066,9
446,4066,6
446,3857,9
446,4057,10
446,4636,9
447,4636,10
447,4066,9
447,4057,9
448,4066,10
448,4057,7
449,4066,7
449,3857,8
449,4057,10
449,3954,10
450,4057,8
450,3857,10
451,4057,8
451,3954,10
452,3857,6
452,4057,8
453,4057,9
453,3954,9
453,4636,9
453,3857,10
454,3857,9
454,3954,7
454,4636,6
454,4057,10
455,3857,7
455,4057,6
455,4636,10
455,3954,10
456,4057,9
456,3954,8
456,3857,6
456,4636,9
457,4057,6
457,4636,10
457,3857,10
458,3954,10
458,4057,9
458,3857,9
459,4057,7
459,3954,6
459,4636,10
459,3857,10
460,2951,6
460,3330,10
460,3795,9
461,3687,10
461,3651,10
462,3653,8
462,3994,9
462,2949,6
463,3751,7
463,2944,9
463,3685,8
463,3850,10
464,3312,8
464,3343,9
464,4056,9
464,4404,8
465,3349,10
465,3721,9
466,2830,6
466,3403,9
466,2916,9
467,4453,10
467,2817,9
468,3064,9
468,4179,6
468,4313,10
468,3666,8
469,2863,6
469,3124,6
470,3352,
470,1620,8
470,3028,9
470,3448,8
471,3552,10
471,1770,8
472,3756,10
472,2908,9
472,1993,7
472,2309,9
473,1875,8
473,3492,8
473,2158,10
473,2450,7
474,3878,7
474,3229,8
474,3841,10
474,2997,9
475,2296,9
475,3975,9
475,2707,9
475,2832,7
476,3644,10
476,2458,9
476,2272,9
477,3830,10
477,3061,9
477,2158,10
477,2543,9
478,3378,6
478,2410,10
478,3575,10
479,3011,8
479,1779,10
479,3842,6
479,2271,8
480,1853,9
480,1625,10
481,1891,9
481,1225,
481,2684,9
482,2370,9
482,1790,7
482,1251,7
482,2394,10
483,1836,9
483,2426,9
483,1804,7
484,2378,9
484,1765,9
484,1845,10
484,1605,9
485,1530,9
485,2304,9
485,2378,9
485,1540,10
486,2219,10
486,2557,10
486,1658,8
487,1777,9
487,1731,8
487,2063,10
488,2125,7
488,2809,9
488,2398,7
488,2104,9
489,1894,7
489,2233,8
489,1973,9
490,918,10
490,2476,9
490,1790,6
491,2613,9
491,2250,10
491,477,9
491,2267,10
492,2167,9
492,141,6
492,2416,8
493,2416,8
493,2303,7
493,2566,7
494,2373,8
494,2294,9
494,1514,9
495,2103,9
495,1741,
495,1969,7
495,176,8
496,1852,
496,2467,10
496,2325,9
497,2037,9
497,2082,7
498,325,9
498,945,7
498,2561,9
499,67,8
499,1971,6
499,17,10
500,1512,7
500,53,10
501,2016,10
501,2648,7
501,2632,8
502,2766,8
502,1499,8
502,265,9
502,2416,8
503,215,7
503,1985,9
503,490,10
503,918,9
503,2379,10
504,379,8
504,1833,8
504,428,10
504,1682,7
504,1683,9
505,1568,9
505,1724,9
505,1706,9
505,1673,10
505,2674,8
506,2234,9
506,2746,9
506,2083,7
507,353,7
507,1373,8
507,808,7
507,2297,10
508,1792,7
508,2216,9
508,2145,8
509,2268,8
509,1636,10
509,161,10
510,1897,6
510,2196,10
510,2302,7
511,712,10
511,1722,9
512,1653,10
512,1910,7
513,2055,9
513,1665,7
514,1843,8
514,2055,8
515,2269,7
515,2355,10
515,2020,9
516,2007,7
516,346,9
516,1683,9
516,2441,6
517,307,9
517,1651,9
517,2613,8
517,12,9
518,2058,9
518,2248,10
518,44,9
518,1918,9
519,1982,7
519,2625,6
519,307,9
